┌─────────────────────────────────────────────────────────────────────────────┐
│ Memory-Agent Research Experiment Runner                                     │
│ Phases: §2.1 Threshold | §2.2 Volume | §2.3 Latency | §3.0 Conflict | §4.0  │
│ Multi-Model                                                                 │
│ Section : 4.0   Latency runs: 30   Model runs: 2                            │
│ Date    : 2026-04-02                                                        │
└─────────────────────────────────────────────────────────────────────────────┘
──────────────────────── § 4.0  Multi-Model Benchmark ─────────────────────────
──────────────────────── Multi-Model Memory Comparison ────────────────────────
Models to test : ['gpt-5.4', 'gpt-5', 'gpt-4.1-mini', 'claude-sonnet-4-6', 
'claude-haiku-4-5', 'gemini-2.5-flash-lite', 'gemini-2.5-flash', 
'gemini-2.5-pro', 'gemini-3-flash', 'gemini-3-pro', 'gemini-3.1-flash-lite', 
'gemini-3.1-pro']
Runs per probe : 2
Test user id   : cmp_278587

✓ Seeded 8 memories for user 'cmp_278587'
────────────────────────────── Testing: gpt-5.4 ───────────────────────────────
  Run 1 | What programming language do I mainly use?    |   1724ms | recall ✗
  Run 1 | What city am I working from?                  |   1175ms | recall ✗
  Run 1 | How many years of experience do I have?       |   1897ms | recall ✗
  Run 1 | What is my current project about?             |   1684ms | recall ✓
  Run 1 | Which ML framework do I prefer?               |   1574ms | recall ✗
  Run 2 | What programming language do I mainly use?    |   1644ms | recall ✗
  Run 2 | What city am I working from?                  |   2205ms | recall ✗
  Run 2 | How many years of experience do I have?       |   1629ms | recall ✗
  Run 2 | What is my current project about?             |   1457ms | recall ✓
  Run 2 | Which ML framework do I prefer?               |   1661ms | recall ✗
─────────────────────────────── Testing: gpt-5 ────────────────────────────────
  Run 1 | What programming language do I mainly use?    |   7903ms | recall ✓
  Run 1 | What city am I working from?                  |  11681ms | recall ✗
  Run 1 | How many years of experience do I have?       |  44624ms | recall ✗
  Run 1 | What is my current project about?             |   7013ms | recall ✓
  Run 1 | Which ML framework do I prefer?               |  10364ms | recall ✓
  Run 2 | What programming language do I mainly use?    |   6827ms | recall ✓
  Run 2 | What city am I working from?                  |   8319ms | recall ✗
  Run 2 | How many years of experience do I have?       |  10956ms | recall ✓
  Run 2 | What is my current project about?             |  10278ms | recall ✓
  Run 2 | Which ML framework do I prefer?               |   6645ms | recall ✓
──────────────────────────── Testing: gpt-4.1-mini ────────────────────────────
  Run 1 | What programming language do I mainly use?    |    848ms | recall ✓
  Run 1 | What city am I working from?                  |   1210ms | recall ✗
  Run 1 | How many years of experience do I have?       |    887ms | recall ✗
  Run 1 | What is my current project about?             |   1184ms | recall ✓
  Run 1 | Which ML framework do I prefer?               |    766ms | recall ✗
  Run 2 | What programming language do I mainly use?    |    904ms | recall ✓
  Run 2 | What city am I working from?                  |   1012ms | recall ✗
  Run 2 | How many years of experience do I have?       |    862ms | recall ✗
  Run 2 | What is my current project about?             |    645ms | recall ✓
  Run 2 | Which ML framework do I prefer?               |    802ms | recall ✗
───────────────────────── Testing: claude-sonnet-4-6 ──────────────────────────
  Run 1 | What programming language do I mainly use?    |   4524ms | recall ✓
  Run 1 | What city am I working from?                  |   6596ms | recall ✗
  Run 1 | How many years of experience do I have?       |   2205ms | recall ✗
  Run 1 | What is my current project about?             |   2716ms | recall ✓
  Run 1 | Which ML framework do I prefer?               |   2587ms | recall ✗
  Run 2 | What programming language do I mainly use?    |   4124ms | recall ✓
  Run 2 | What city am I working from?                  |   5351ms | recall ✗
  Run 2 | How many years of experience do I have?       |   2514ms | recall ✗
  Run 2 | What is my current project about?             |   2998ms | recall ✓
  Run 2 | Which ML framework do I prefer?               |   2490ms | recall ✗
────────────────────────── Testing: claude-haiku-4-5 ──────────────────────────
  Run 1 | What programming language do I mainly use?    |   1946ms | recall ✓
  Run 1 | What city am I working from?                  |   1186ms | recall ✗
  Run 1 | How many years of experience do I have?       |   2558ms | recall ✗
  Run 1 | What is my current project about?             |   1223ms | recall ✓
  Run 1 | Which ML framework do I prefer?               |   1567ms | recall ✗
  Run 2 | What programming language do I mainly use?    |   1807ms | recall ✓
  Run 2 | What city am I working from?                  |   1224ms | recall ✗
  Run 2 | How many years of experience do I have?       |   1134ms | recall ✗
  Run 2 | What is my current project about?             |   2911ms | recall ✓
  Run 2 | Which ML framework do I prefer?               |   1570ms | recall ✗
─────────────────────── Testing: gemini-2.5-flash-lite ────────────────────────
  Run 1 | What programming language do I mainly use?    |    885ms | recall ✓
  Run 1 | What city am I working from?                  |    824ms | recall ✗
  Run 1 | How many years of experience do I have?       |    882ms | recall ✗
  Run 1 | What is my current project about?             |   1145ms | recall ✓
  Run 1 | Which ML framework do I prefer?               |   1388ms | recall ✓
  Run 2 | What programming language do I mainly use?    |    809ms | recall ✓
  Run 2 | What city am I working from?                  |    667ms | recall ✗
  Run 2 | How many years of experience do I have?       |    764ms | recall ✗
  Run 2 | What is my current project about?             |    734ms | recall ✓
  Run 2 | Which ML framework do I prefer?               |    890ms | recall ✗
────────────────────────── Testing: gemini-2.5-flash ──────────────────────────
  Run 1 | What programming language do I mainly use?    |   2487ms | recall ✓
  Run 1 | What city am I working from?                  |   2218ms | recall ✗
  Run 1 | How many years of experience do I have?       |   2010ms | recall ✗
  Run 1 | What is my current project about?             |   1473ms | recall ✓
  Run 1 | Which ML framework do I prefer?               |   4228ms | recall ✗
  Run 2 | What programming language do I mainly use?    |   2088ms | recall ✓
  Run 2 | What city am I working from?                  |   1981ms | recall ✗
  Run 2 | How many years of experience do I have?       |   2661ms | recall ✗
  Run 2 | What is my current project about?             |   1484ms | recall ✓
  Run 2 | Which ML framework do I prefer?               |   2598ms | recall ✗
─────────────────────────── Testing: gemini-2.5-pro ───────────────────────────
